index,NDB_No,Shrt_Desc,Water,Energ_Kcal,Carbohydrt,Calcium,Cholestrl,Sodium,Zinc
67,1074,"SOUR CRM,IMITN,CULTURED",71.15,208,6.63,3,0,102,1.18
68,1076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",88.18,61,6.16,33,0,78,1.18
69,1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,4.8,113,10,43,0.37
70,1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",87.69,64,4.65,119,14,49,0.38
71,1079,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.21,50,4.8,120,8,47,0.48
72,1080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",88.86,51,4.97,128,8,52,0.4
73,1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",87.71,56,5.49,143,8,59,0.45
74,1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.92,42,4.99,125,5,44,0.42
75,1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",89.81,43,4.97,128,4,52,0.4
76,1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",88.74,48,5.52,142,4,58,0.45
77,1085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,4.96,122,2,42,0.42
78,1086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",90.38,37,5.02,129,2,53,0.41
79,1087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",89.36,41,5.56,143,2,59,0.45
80,1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40,4.79,116,4,190,0.42
81,1089,"MILK,LO NA,FLUID",88.2,61,4.46,101,14,3,0.38
82,1090,"MILK,DRY,WHL,W/ ADDED VITAMIN D",2.47,496,38.42,912,97,371,3.34
83,1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",3.16,362,51.98,1257,20,535,4.08
84,1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",3.96,358,52.19,1231,18,549,4.41
85,1093,"MILK,DRY,NONFAT,CA RED",4.9,354,51.8,280,2,2280,4.03
86,1094,"MILK,BUTTERMILK,DRIED",2.97,387,49,1184,69,517,4.02
87,1095,"MILK,CND,COND,SWTND",27.16,321,54.4,284,34,127,0.94
88,1096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",74.04,134,10.04,261,29,106,0.77
89,1097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",79.4,78,11.35,290,4,115,0.9
90,1102,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",82.3,83,10.34,112,12,60,0.41
91,1103,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76,12.13,109,8,66,0.39
92,1104,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",84.91,62,9.86,129,5,65,0.43
93,1105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.45,77,10.74,114,8,44,0.63
94,1106,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",87.03,69,4.45,134,11,50,0.3
95,1107,"MILK,HUMAN,MATURE,FLUID",87.5,70,6.89,32,14,17,0.17
96,1108,"MILK,INDIAN BUFFALO,FLUID",83.39,97,5.18,169,19,52,0.22
97,1109,"MILK,SHEEP,FLUID",80.7,108,5.36,193,27,44,0.54
98,1110,"MILK SHAKES,THICK CHOC",72.2,119,21.15,132,11,111,0.48
99,1111,"MILK SHAKES,THICK VANILLA",74.45,112,17.75,146,12,95,0.39
100,1112,"WHEY,ACID,FLUID",93.42,24,5.12,103,1,48,0.43
101,1113,"WHEY,ACID,DRIED",3.51,339,73.45,2054,3,968,6.31
102,1114,"WHEY,SWEET,FLUID",93.12,27,5.14,47,2,54,0.13
103,1115,"WHEY,SWEET,DRIED",3.19,353,74.46,796,6,1079,1.97
104,1116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,4.66,121,13,46,0.59
105,1117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,7.04,183,6,70,0.89
106,1118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,7.68,199,2,77,0.97
107,1119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79,85,13.8,171,5,66,0.83
108,1120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,18.64,138,5,53,0.67
109,1121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,19.05,152,4,58,0.74
110,1122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",74.1,105,18.6,169,6,65,0.82
